,weight_nc,fool rate,re_train_acc,time,
Model1,0,100,0.9736,59.94179,
Model1,0.1,100,0.9734,58.402254,
Model1,0.2,100,0.9737,63.714752,
Model1,0.3,100,0.974,60.646224,
Model1,0.4,100,0.9746,58.312865,
Model1,0.5,100,0.9737,61.415716,
Model1,0.6,100,0.9733,63.354591,
Model1,0.7,100,0.9737,64.702382,
Model1,0.8,100,0.9731,63.621434,
Model1,0.9,100,0.9735,64.610378,
Model1,1,100,0.9735,70.552706,
Model1,0.1,143,0.9738,58.814379,0.699300699
Model1,0.3,146,0.9722,59.924733,0.684931507
Model1,1,156,0.9748,66.237774,0.641025641
Model2,0,126,0.9834,52.562639,0.793650794
Model2,0.1,126,0.9828,51.527789,0.793650794
Model2,0.3,126,0.984,51.520388,0.793650794
Model2,1,126,0.9852,51.114957,0.793650794
Model3,0,133,0.9863,59.887933,0.751879699
Model3,0.1,131,0.9835,58.360579,0.763358779
Model3,0.3,133,0.9857,59.526958,0.751879699
Model3,1,133,0.9857,61.07378,0.751879699
Model1,0,472,0.9738,467.954148,0.63559322
Model1,0.1,472,0.973,461.520609,0.63559322
Model1,0.3,475,0.9736,461.092198,0.631578947
Model1,1,489,0.9744,492.761246,0.613496933
Model2,0,394,0.9842,363.78199,0.76142132
Model2,0.1,394,0.9828,364.953871,0.76142132
Model2,0.3,394,0.9842,371.142116,0.76142132
Model2,1,394,0.9842,379.137161,0.76142132
Model3,0,419,0.9865,493.22095,0.715990453
Model3,0.1,419,0.9871,524.984783,0.715990453
Model3,0.3,419,0.9853,545.467607,0.715990453
Model3,1,419,0.985,532.169064,0.715990453
Model1,0.1,128,0.979,58.612376,
Model1,0.3,118,0.9787,55.481772,
Model1,1,114,0.9779,50.15803,
Model1,1,136,0.9797,72.97209,
Model1,1,291,0.9694,232.829312,
Model1,1,310,0.9795,263.01914,
Model1,1,457,0.9795,513.936662,
Model1,1,470,0.9782,551.2713,
Model1,1,605,0.9793,886.764313,
Model1,1,776,0.9786,1435.264377,
Model1,1,769,0.9785,1380.683646,
Model2,1,103,0.9866,37.659927,
Model2,1,213,0.9852,131.693846,
Model2,1,319,0.9854,282.807331,
Model2,1,530,0.9876,751.412966,
Model2,1,855,0.9841,1927.217422,
Model2,1,319,0.9866,282.104487,
Model2,1,423,0.9873,509.197334,
Model2,1,637,0.9856,1100.468632,
Model2,1,746,0.9834,1502.2601,
Model2,1,855,0.9874,1839.753652,
Model2,1,963,0.9869,2375.958864,
Model1,1,606,0.9785,873.246749,
Model3,1,101,0.986,40.261297,
Model3,1,208,0.9758,138.76277,
Model3,1,311,0.985,291.937831,
Model3,1,415,0.9849,502.336745,
Model3,1,519,0.9806,767.364617,
Model1,1,106,0.9731,38.767917,
Model1,1,106,0.9787,39.077606,
Model1,1,108,0.983,42.134319,
Model2,1,103,0.985,41.466205,0.970873786
Model2,1,103,0.9873,38.532346,0.970873786
Model2,1,103,0.9886,37.562494,0.970873786
Model3,1,101,0.9896,41.920521,0.99009901
Model3,1,101,0.985,39.41005,0.99009901
Model3,1,101,0.9872,40.624087,0.99009901
Model3,1,101,0.9847,40.248541,0.99009901
Model1,1,106,0.9735,36.848833,0.943396226
